Emotions,Path
happy,../Dataset/ravdess/Actor_10/03-01-03-02-02-02-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-01-01-02-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-02-01-01-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-01-02-01-10.wav
neutral,../Dataset/ravdess/Actor_10/03-01-01-01-02-02-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-01-02-02-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-01-02-01-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-02-01-01-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-02-01-02-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-01-01-02-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-01-01-01-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-02-02-01-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-02-02-02-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-02-02-01-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-01-01-01-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-01-01-02-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-01-01-01-10.wav
fear,../Dataset/ravdess/Actor_10/03-01-06-02-02-01-10.wav
angry,../Dataset/ravdess/Actor_10/03-01-05-02-02-02-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-01-02-02-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-01-02-01-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-02-01-01-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-02-01-02-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-02-01-02-10.wav
surprise,../Dataset/ravdess/Actor_10/03-01-08-01-02-02-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-02-01-01-10.wav
happy,../Dataset/ravdess/Actor_10/03-01-03-01-02-01-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-02-02-02-10.wav
neutral,../Dataset/ravdess/Actor_10/03-01-01-01-01-01-10.wav
calm,../Dataset/ravdess/Actor_10/03-01-02-01-01-02-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-02-02-01-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-02-02-02-10.wav
disgust,../Dataset/ravdess/Actor_10/03-01-07-01-01-02-10.wav
sad,../Dataset/ravdess/Actor_10/03-01-04-01-01-01-10.wav
